"vectorName","vectorAddress","postal_code","lat","lon"
"AM Associates (S) Pte Ltd","51 Goldhill Plaza #23-04 Goldhill Plaza Singapore 308900","Singapore 308900",1.318222,103.842817
"Digital Mirage Pte Ltd","47A Tras St   Singapore 078986","Singapore 078986",1.2781309,103.844513
"Dreamarvel Pte. Ltd.","63 Ubi Ave 1 #03-01 Boustead Hse Singapore 408937","Singapore 408937",1.325077,103.893758
"Juan Peck Foon","73 Cardiff Gr   Singapore 558939","Singapore 558939",1.3567,103.866209
"Sabrefox Pte Ltd","3 Kallang Way 2A #07-00  Singapore 347493","Singapore 347493",1.323237,103.877622
"Spot Works Pte. Ltd.","118 Joo Chiat Rd #04-01  Singapore 427407","Singapore 427407",1.313933,103.899077
"Visualmediaworks Pte Ltd","1 Chang Charn Rd #04-01/02/03  Singapore 159630","Singapore 159630",1.288785,103.812191
"William Lau Architects","865 Mountbatten Rd #06-43 Katong Shopping Centre Singapore 437844","Singapore 437844",1.303746,103.901182
"Architects 61 Pte Ltd","150 Beach Rd #23-01 Gateway West Singapore 189720","Singapore 189720",1.2987089,103.85862
"Koh Brothers Group Limited","11 Lor Pendek #01-00 Koh Bros Bldg Singapore 348639","Singapore 348639",1.329012,103.874598
"Aedas Pte Ltd","10 Hoe Chiang Rd #11-01 Keppel Towers Singapore 089315","Singapore 089315",1.274357,103.842131
"Metaphor Design + Architecture Pte. Ltd","3 Jln Klapa   Singapore 199315","Singapore 199315",1.304193,103.859792
"Akihaus Design Studio Pte Ltd","10 Raeburn Pk #04-02  Singapore 088702","Singapore 088702",1.273225,103.833507
"Branoz Pte Ltd","Blk 464 Crawford Lane #02-01/17 Crawford Centre Singapore 190464","Singapore 190464",1.30495,103.862487
"CPG Corporation Pte Ltd","1 Gateway Drive #25-01 Westgate Tower Singapore 608531","Singapore 608531",1.352083,103.819836
"Tan Loong Seng Glass Contractor","Blk 1029 Eunos Ave 7 #01-67  Singapore 409580","Singapore 409580",1.322999,103.898448
"A Plus Glass Pte Ltd","81 Tuas View Wlk 1   Singapore 637620","Singapore 637620",1.301043,103.626756
"Allglass Services (S) Pte Ltd","112 Neythal Rd   Singapore 628599","Singapore 628599",1.325566,103.699933
"Archibiz C. Engrg Pte Ltd","1 Yishun St 23 #01-43  Singapore 768441","Singapore 768441",1.4379249,103.841475
"Archibiz Connections Pte Ltd","8 Burn Rd #16-01 Trivex Singapore 369977","Singapore 369977",1.335497,103.885304
"Asia Glazing Aluminium Construction","Blk 2024 Bt Batok St 23 #01-66  Singapore 659529","Singapore 659529",1.342879,103.752951
