vectorName,vectorAddress,postal_code,lat,lon,type
Lawrence Graham LLP,"Cecil St, Singapore 069535",Singapore 069535,1.280305,103.848906,Legal
K K Lee & Partners,"57 Lor 27 Geylang, Singapore 388184",Singapore 388184,1.315807,103.883818,Legal
Tan Shiew Hwa & Co,Blk 188 Punggol Central #08-279  Singapore 820188,Singapore 820188,1.399395,103.910606,Legal
"Debbie Hogan, Growth Resources Counseling","24 Springleaf Rise, Singapore 788014",Singapore 788014,1.398852,103.82341,Legal
HH Lim Law Chambers,"10 High St, Singapore 779433",Singapore 779433,1.2911135,103.8493608,Legal
M Nedumaran & Co,"14 High St, Singapore 779433",Singapore 779433,1.352083,103.819836,Legal
Ong Beng Leong & Co,"47 Hill St, Singapore 779365",Singapore 779365,1.352083,103.819836,Legal
Low Fook Cheng & Co,120 Hillview Ave #06-08 Kewalram Hillview Singapore 669594,Singapore 669594,1.356779,103.761706,Legal
Low Fook Cheng & Co,"120 Hillview Ave, Singapore 669594",Singapore 669594,1.356779,103.761706,Legal
Legalstudio.com Pte Ltd,"45 Club St, Singapore 669422",Singapore 669422,1.2823322,103.8461383,Legal
Christopher Yap & Co.,"47 Gul Dr, Singapore 629494",Singapore 629494,1.316951,103.666749,Legal
Samuel Poon & Co,18 Boon Lay Way #09-149 TradeHub 21 Singapore 609966,Singapore 609966,1.328234,103.753597,Legal
Samuel Poon & Co,"18 Boon Lay Way, Singapore 609966",Singapore 609966,1.328234,103.753597,Legal
"""Andreas Vogel & Partner, Rechtsanwaelte, AV & P Legal""","25 International Business Park, Singapore 609916",Singapore 609916,1.324738,103.746782,Legal
Gsk Stockmann (S) Pte Ltd,25 International Business Pk #03-79 German Centre Singapore 609916,Singapore 609916,1.324738,103.746782,Legal
Shyam Chew & Co,Blk 224 Jurong East St 21 #02-813  Singapore 600224,Singapore 600224,1.341672,103.736536,Legal
Tan & Co.,"23 Hua Guan Cres, Singapore 589042",Singapore 589042,1.337121,103.784944,Legal
Satwant & Associates,3 Jln Bingka   Singapore 588896,Singapore 588896,1.340433,103.779653,Legal
Jayne Wong Advocates & Solicitors,144 Up Bt Timah Rd #03-36 Beauty World Centre Singapore 588177,Singapore 588177,1.34234,103.776131,Legal
Vicki Heng Law Corpn,140 Up Bt Timah Rd #03-08 Beauty World Plaza Singapore 588176,Singapore 588176,1.341621,103.776156,Legal
CH Liau Legal Practice,"No. 21, Bukit Batok Crescent, #12-79, WCEGA Tower, 658065, Singapore 588065",Singapore 588065,1.3370543,103.7596015,Legal
Christine Seah & Company,"52 Jln Binchang, Singapore 573951",Singapore 573951,1.351888,103.846966,Legal
Jenny Lee,Blk 261 Bishan St 22 #08-233  Singapore 570261,Singapore 570261,1.35897,103.843393,Legal
Andrew & Co,Blk 726 Ang Mo Kio Ave 6 #01-4152  Singapore 560726,Singapore 560726,1.372778,103.846465,Legal
Lim & Bangras,50 Hythe Rd   Singapore 557531,Singapore 557531,1.3691,103.8674659,Legal
Lutfi Law Corpn,Blk 158 Simei Rd #01-244  Singapore 520158,Singapore 520158,1.34428,103.959547,Legal
Jimmy Yap & Co,Blk 235 Pasir Ris St 21 #03-59  Singapore 510235,Singapore 510235,1.373364,103.962321,Legal
Jimmy Yap & Co,"235 Pasir Ris Street 21, Singapore 510235",Singapore 510235,1.373364,103.962321,Legal
Giam Cheng Han & Co,1067 Up Changi Rd Nth   Singapore 507691,Singapore 507691,1.365937,103.97514,Legal
Giam Cheng Han & Co,"1067 Upper Changi Rd N, Singapore 507691",Singapore 507691,1.365937,103.97514,Legal
C.H. Eng & Frois,"187 MacPherson Rd, Singapore 488545",Singapore 488545,1.3309439,103.943528,Legal
Abdullah Shaik Abubakar,"7 Evergreen Gardens, Singapore 468883",Singapore 468883,1.315237,103.934562,Legal
Ong Beng Leong & Co,Blk 415 Bedok Nth Ave 2 #13-105  Singapore 460415,Singapore 460415,1.329702,103.930016,Legal
W Choo & Company,"530 E Coast Rd, Singapore 458970",Singapore 458970,1.3082609,103.919021,Legal
C B Yeow & Co,522 East Coast Rd #16-03 Ocean Pk Singapore 458966,Singapore 458966,1.309733,103.9177969,Legal
Maurice Lee & Tan,80 Marine Parade Rd #12-06 Parkway Parade Singapore 449269,Singapore 449269,1.301072,103.905281,Legal
Cheong Y H,5 Marine Vista #02-45 Neptune Ct Singapore 449029,Singapore 449029,1.306834,103.922145,Legal
Gwen Teo,Blk 55 Marine Ter #14-19  Singapore 440055,Singapore 440055,1.305504,103.91385,Legal
Gwen Teo,"55 Marine Terrace, Singapore 440055",Singapore 440055,1.305504,103.91385,Legal
Benedict Chan & Co,14 Fort Rd   Singapore 439075,Singapore 439075,1.300203,103.885647,Legal
Legal Employment Services,"865 Mountbatten Rd, Singapore 437844",Singapore 437844,1.303746,103.901182,Legal
Anne Tye & Co,"Tanjong Katong Rd, Singapore",Singapore 437078,1.3065,103.895786,Legal
Anne Tye & Co,295A Tg Katong Rd   Singapore 437078,Singapore 437078,1.3065,103.895786,Legal
Kingfields (S) Llc,179 Tg Rhu Rd #14-28 Water Pl Singapore 436608,Singapore 436608,1.296224,103.872152,Legal
Sham Shudin Ali & Co,20 Joo Chiat Rd #02-06  Singapore 427357,Singapore 427357,1.315557,103.897852,Legal
